Year,District,Area,Production,Crop_Yield,Plantation_Temperature,Plantation_Humidity,Plantation_Rainfall,Growth_Temperature,Growth_Humidity,Growth_Rainfall,Harvest_Temperature,Harvest_Humidity,Harvest_Rainfall
2016-17,Sialkot,131.12,240.8,1836,30.142344384136116,64.87979286758167,149.44203047025815,40.61277197569496,50.74696377498429,283.53956758363745,37.2821634861186,66.71551162546926,90.34828662123971
2016-17,Hafizabad,133.54,283.04,2119,30.924145688620424,79.46021109504892,105.75587600166443,42.70967179954561,66.45201121319317,218.34851291785694,33.677831327192536,73.80460482849915,63.40152284506407
2016-17,Pakpattan,53.42,116.57,2182,25.464504127199977,67.8619544933352,154.95288823237354,39.93795596364391,57.20381282822526,243.0198896702305,36.323058305935795,66.50948355751758,52.8782676313339
2017-18,Bhawalnagar,74.05,160.4,2166,31.075448519014383,77.84093110354226,144.1530501373377,40.22732829381994,52.5412102530377,191.6071774471699,36.335297107608945,62.76339852413044,125.5137255673619
2017-18,Sheikhupura,181.7,338.1,1861,26.705241236872915,72.62277251994526,188.77041827582997,39.27541018358549,60.444865201096086,178.2181739585642,35.35774684074759,67.86576436884707,112.03095513534646
2017-18,Jhang,60.29,123.5,2048,25.650515929852794,75.89622607083297,135.09150125520787,35.25419126744095,65.39987106197222,219.55476074099732,30.902897700544084,64.16505780983033,120.40797680992236
2017-18,Sialkot,138.0,264.6,1917,34.48885537253334,70.05274186210384,111.70670164276059,36.078914269933044,54.316420549936865,203.00283420390792,38.35302495589238,65.91233578631869,71.29641615089108
2017-18,Hafizabad,140.02,339.0,2421,34.656320330745594,71.53807769252718,114.29916820528359,35.31429185686734,62.45780951638,237.5484167776308,33.207800649717356,73.8292961755305,63.63714755867697
2017-18,Pakpattan,59.09,129.2,2186,33.08397348116461,69.85035387637728,176.15106317174724,41.364104112637804,51.70694929987536,161.66019554474772,31.86518510399854,62.722052756015486,51.45446656678819
2018-19,Bhawalnagar,78.51,179.39,2285,28.046137691733705,63.90485975596089,161.8218063316261,38.143559810763264,51.033634423372156,296.159221149925,30.40775141554764,74.22381127647829,85.0587558806597
2018-19,Sheikhupura,195.05,376.8,1931,25.976721140063837,74.44904230523011,110.11226761227903,40.08570691164703,60.627092631362956,297.93161167194046,35.90892943188242,73.10701283912127,108.99176868546331
2018-19,Jhang,69.6,158.31,2274,31.842330265121568,65.61544724881712,108.41068061149974,44.07566473926093,60.81270243220213,254.72425710296176,36.775643618422826,58.91582269578593,89.22440450997323
2018-19,Sialkot,130.71,241.88,1850,29.40152493739601,60.48631932862908,170.096913145912,37.49292229148875,62.74859802996413,230.41445495161804,30.165878289278563,56.38722601750331,93.74749220237291
2018-19,Hafizabad,139.62,301.3,2158,26.22038234844779,72.90944591814336,107.27630063641935,39.1038292303563,64.52182667445322,196.42914244294917,35.12093058299281,57.01556002754853,140.41586944937484
2018-19,Pakpattan,72.03,164.52,2284,29.951769101112703,63.54221358814098,182.18600592903562,42.555511385430485,69.5170415892507,272.0692529560423,32.26495775197938,55.364436513030995,84.82554670233003
2019-20,Bhawalnagar,88.0,191.4,2179,25.343885211152184,78.80917168705828,170.62422271564964,37.28798165491622,60.326006966023904,252.7096758830819,36.4517279040945,56.888859215118565,101.39894891598108
2019-20,Sheikhupura,196.0,391.28,1998,34.09320402078782,79.07857154005174,108.13487806418998,35.76979909828793,56.45912945882492,174.3925409017337,31.743664290049914,68.66013546832714,128.3653012741143
2019-20,Jhang,75.0,151.3,2031,27.58779981600017,78.29728780440897,108.48377140851919,37.89751452913768,65.90372389537407,286.63907767407636,36.90937738102466,56.42377296920458,89.65427823212701
2019-20,Sialkot,134.0,253.44,1892,31.62522284353982,67.4031740051089,198.66395785011753,36.61221287254004,55.416645025241486,273.38058643847535,33.86735346300537,61.37951260587523,112.20867002278735
2019-20,Hafizabad,140.0,302.18,2158,28.11711076089411,60.30913233057735,137.42707957561203,44.29697652342573,58.77942841411272,292.4699869937886,39.367299887367345,71.89750621938909,136.23637087467452
2019-20,Pakpattan,85.0,176.07,2072,30.200680211778106,78.5663712517545,137.06421470668909,43.08120379564417,51.56912762684532,258.857926258254,31.375209441459933,55.46543871471652,144.95206236576422
2020-21,Bhawalnagar,108.85,269.3,2474,30.467102793432797,68.56368296634629,181.27995672575025,41.33403756510423,50.50701486830915,242.01227939036846,33.41066351050259,71.28936965177871,64.7073480929038
2020-21,Sheikhupura,239.56,507.4,2118,26.84854455525527,79.3330963808734,194.72485773838588,43.71460590187718,69.2529682935585,212.73645544359283,31.13473521240589,60.637095495467996,142.65876251614944
2020-21,Jhang,150.53,337.4,2241,34.695846277645586,79.27239954178506,198.6001063822871,43.036720768991145,66.71960241024412,289.909272503102,39.24693618278563,57.36329655243313,99.21162930795381
2020-21,Sialkot,172.0,334.5,1945,32.75132823361115,77.0601891093472,175.33781852589416,36.865700588860356,63.919484121873964,279.9095834250612,38.77339353380981,68.93474330728301,75.82443882989584
2020-21,Hafizabad,149.33,341.9,2289,34.39498941564189,65.88897784139172,137.62595855309158,43.92558998489978,58.1790588882854,156.78280051592841,32.57941627715156,67.57885693559768,95.91357562382613
2020-21,Pakpattan,88.22,208.8,2366,33.948273504276486,67.7019545720385,108.35007166986688,40.39342241915651,53.46588640141692,153.9550461745878,36.59984046034179,72.54944027054106,148.0032575285477
2021-22,Bhawalnagar,136.0,328.0,2409,30.97899978811085,77.02273343033714,177.7146915927437,43.07440155164063,53.12874085342172,206.46950503170746,38.17222200201216,69.70142087607772,99.26180939928696
2021-22,Sheikhupura,243.0,483.0,1986,34.21874235023117,66.33844010312555,155.8404249735805,43.960912999234935,55.004857963291904,271.58299961727494,35.552008115994624,71.06961860769697,82.87516102875082
2021-22,Jhang,161.0,386.0,2394,25.884925020519194,63.38985493372185,142.42220092469762,38.18003474971864,60.98453329412241,298.0914193972417,35.296505783560065,60.64069145142613,113.34008543167258
2021-22,Sialkot,168.0,252.0,1499,26.959828624191452,71.136025249167,190.6354385094736,36.100519245276764,64.29191845400125,172.56253366552923,32.418522909004515,58.548790875594456,74.0145618778193
2021-22,Hafizabad,151.0,362.0,2399,25.45227288910538,78.72309548321562,111.11974823061513,37.279351625419416,63.203947534354626,239.11960730282027,30.931027678058992,70.01229503281716,57.586332810866395
2021-22,Pakpattan,105.0,257.0,2439,28.253303307632642,73.92059593349946,149.26251042908592,39.27107788626256,55.598677938918854,207.13362849465324,38.97215757953327,71.13669478534528,62.88797219106492
2022-23,Bhawalnagar,104.81,239.02,2280,28.88677289689482,71.40122340178729,101.13536447674191,43.18014765922493,69.09730561326388,295.4871596721905,39.004180571633306,74.81010284001347,62.80458389577724
2022-23,Sheikhupura,236.0,538.25,2281,27.71349031773896,61.94352987541537,146.86606419941262,43.60730583256343,64.75793833391538,276.3178384703563,36.33101457273268,63.25235353822853,65.19026935122943
2022-23,Jhang,146.5,340.17,2322,33.287375091519294,72.3001445339834,105.63032756818373,35.06952130531191,61.087081050228015,275.74930570667067,33.39029791048701,62.440361715855666,63.882717264941014
2022-23,Sialkot,187.0,377.04,2016,28.567533266935893,79.80107700208526,111.8817916268072,40.10747302577566,62.234414924687044,220.30397396924553,33.49209574612661,70.52825921483993,114.08747448032146
2022-23,Hafizabad,149.0,364.35,2446,27.80934509687381,62.80168030473048,111.75262467771049,39.17411003148779,58.3920012485558,212.22292535064977,37.2595567887024,61.816070805060356,68.18800843991448
2022-23,Pakpattan,82.15,218.06,2654,30.426960831582484,70.36659304727473,164.92103021160636,37.2210781047073,54.95461979002315,191.01106078960595,38.97110259952577,73.61514651207129,84.56672833238632
